,predicted_mean
90,-0.027946132731542714
91,0.011304496148010108
92,0.036790368240724146
93,0.02396805731600022
94,-0.03292095797647901
95,0.0027777004818994658
96,0.02066657853049752
97,0.020929331290726896
98,-0.09312477516112934
99,0.04657257041934161
100,0.06201549584616387
101,0.002888076498129416
102,0.004182951169498227
103,-0.06484586415012088
104,-0.0025574879554839114
105,-0.006502995816022485
106,-0.05354278010608947
107,0.0375436488661392
108,0.0651784823572826
109,0.017311362013569392
110,0.017019004910544602
111,0.0025326452586469997
112,0.013524162582060491
113,-0.009957186655515397
114,-0.06306329847703929
115,0.008139125879307124
116,0.04630697943733842
117,-0.006647332144029662
118,-0.03425252052303834
119,-0.020799320275248324
120,-0.009485254064088488
121,-0.006941379814614788
122,0.027598131687353422
123,-0.01285710562868058
124,0.012345759599362634
125,-0.0027304783114289154
126,-0.05452744708928327
127,0.015011013358000438
128,-0.002294247522841124
129,0.044952677023117775
130,-0.01908934491697651
131,-0.016708541812554698
132,0.009006833954729298
133,-0.013486126752195987
134,-0.02777950734398081
135,0.0036937689157629516
136,0.02016453815343138
137,0.0010076508810466962
138,-0.015481349632772808
139,0.009159780336001396
140,-0.005356361288597129
141,0.002604802962608132
142,-0.006791148849159835
143,0.005151793490635942
144,0.00912254936072645
145,-0.00845101488537927
146,0.0017069116632963642
147,-0.001528041762567189
148,-0.0034328506480390355
149,-0.0015552243066410025
